Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST4000DX001,Seagate,Desktop SSHD 4TB,121,72,16606,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,STCL4000400,Seagate,Desktop SSHD 4TB,121,72,16606,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,,Seagate,ST33000650NS 3TB,122,72,2131,https://hdd.userbenchmark.com/SpeedTest/9344/ST33000650NS
HDD,,Hitachi,HDS724040ALE640 4TB,123,71.6,4976,https://hdd.userbenchmark.com/SpeedTest/1070/HGST-HDS724040ALE640
HDD,,Seagate,ST32000645NS 2TB,124,71.3,882,https://hdd.userbenchmark.com/SpeedTest/9954/Seagate-ST32000645NS
HDD,,Seagate,ST2000NM0011 2TB,125,71.2,3006,https://hdd.userbenchmark.com/SpeedTest/3761/ST2000NM0011
HDD,ST8000DM004,Seagate,Barracuda 8TB (2017),126,71.1,16712,https://hdd.userbenchmark.com/SpeedTest/323996/ST8000DM004-2CX188
HDD,ST8000VX0022,Seagate,SkyHawk 8TB (2016),127,71.1,54,https://hdd.userbenchmark.com/SpeedTest/228255/ST8000VX-ST8000VX0022-2EJ
HDD,ST4000DM004,Seagate,Barracuda 4TB (2017),128,71.1,107063,https://hdd.userbenchmark.com/SpeedTest/243570/ST4000DM004-2CV104
HDD,ST10000DM0004,Seagate,Barracuda Pro 10TB (2016),129,70.9,222,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,0S03664,HGST,Deskstar NAS 4TB,130,70.7,5696,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971
HDD,HDWA130XZSTA,Toshiba,E300 3TB,131,70.3,1030,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,HDWA130EZSTA,Toshiba,E300 3TB,131,70.3,1030,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,,Toshiba,DT01ABA300 3TB,132,70.1,4681,https://hdd.userbenchmark.com/SpeedTest/8588/TOSHIBA-DT01ABA300
HDD,,Hitachi,HUA723030ALA640 3TB,133,69.8,8730,https://hdd.userbenchmark.com/SpeedTest/5187/Hitachi-HUA723030ALA640
HDD,WD2003FYYS,WD,Re 2TB,134,69.3,10418,https://hdd.userbenchmark.com/SpeedTest/3985/WDC-WD2003FYYS-02W0B1
HDD,,WD,WD1500HLHX-01JJPV0 150GB,135,69.2,560,https://hdd.userbenchmark.com/SpeedTest/5038/WDC-WD1500HLHX-01JJPV0
HDD,HDS723030ALA640,Hitachi,Deskstar 7K3000 3TB,136,69.2,5316,https://hdd.userbenchmark.com/Hitachi-Deskstar-7K3000-3TB/Rating/1373
HDD,,Hitachi,HDS5C3030BLE630 3TB,137,69.1,1052,https://hdd.userbenchmark.com/SpeedTest/8059/Hitachi-HDS5C3030BLE630
HDD,,WD,WD20EURX 2TB,138,68.6,8354,https://hdd.userbenchmark.com/SpeedTest/6121/WDC-WD20EURX-64H
HDD,ST3000DM007,Seagate,Barracuda 3TB (2017),139,68.6,16199,https://hdd.userbenchmark.com/SpeedTest/337813/ST3000DM007-1WY10G
HDD,HDWA120XZSTA,Toshiba,E300 2TB,140,68.4,1606,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,HDWA120EZSTA,Toshiba,E300 2TB,140,68.4,1606,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,WD10EZRZ,WD,Blue 1TB (2015),141,68,42147,https://hdd.userbenchmark.com/WD-Blue-1TB-2015/Rating/3520
HDD,,Hitachi,HUA723020ALA640 2TB,142,68,6134,https://hdd.userbenchmark.com/SpeedTest/8994/Hitachi-HUA723020ALA640
HDD,WD10PURZ,WD,Purple Surveillance 1TB (2017),143,67.9,5326,https://hdd.userbenchmark.com/SpeedTest/310059/WDC-WD10PURZ-85U8XY0
HDD,WD1503FYYS,WD,Re 1.5TB ,144,67.8,128,https://hdd.userbenchmark.com/SpeedTest/14718/WDC-WD1503FYYS-01T8B0
HDD,,WD,WD6000BLHX-01V7BV0 600GB,145,67.8,239,https://hdd.userbenchmark.com/SpeedTest/6689/WDC-WD6000BLHX-01V7BV0
HDD,,Hitachi,HDS72302 2TB,146,67.6,412,https://hdd.userbenchmark.com/SpeedTest/1223/Hitachi-HDS72302
HDD,WD20EZRZ,WD,Blue 2TB (2015),147,67.5,189547,https://hdd.userbenchmark.com/WD-Blue-2TB-2015/Rating/3521
HDD,WD30PURX,WD,Purple 3TB (2014),148,67.5,4775,https://hdd.userbenchmark.com/SpeedTest/15186/WDC-WD30PURX-64P
HDD,,Seagate,ST33000651AS 3TB,149,67.4,4053,https://hdd.userbenchmark.com/SpeedTest/2159/ST33000651AS
HDD,,WD,WD4500HLHX-01JJPV0 450GB,150,67.2,760,https://hdd.userbenchmark.com/SpeedTest/8988/WDC-WD4500HLHX-01JJPV0
HDD,WD20EFRX,WD,Red 2TB (2012),151,67.1,53638,https://hdd.userbenchmark.com/WD-Red-2TB-2012/Rating/1789
HDD,,Seagate,ST500NM0011 500GB,152,67,1608,https://hdd.userbenchmark.com/SpeedTest/2942/ST500NM0011
HDD,ST10000VX0004,Seagate,SkyHawk 10TB (2016),153,66.9,64,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101
HDD,,WD,WD2001FASS-00U0B0 2TB,154,66.7,4885,https://hdd.userbenchmark.com/SpeedTest/1611/WDC-WD2001FASS-00U0B0
HDD,WD20PURX,WD,Purple 2TB (2014),155,66.6,12972,https://hdd.userbenchmark.com/WD-Purple-2TB-2014/Rating/2662
HDD,WD30EFRX,WD,Red 3TB (2012),156,66.4,57875,https://hdd.userbenchmark.com/WD-Red-3TB-2012/Rating/1386
HDD,,WD,WD10EURX 1TB,157,66.3,40265,https://hdd.userbenchmark.com/SpeedTest/1122/WDC-WD10EURX-73C57Y0
HDD,WD10EFRX,WD,Red 1TB (2012),158,66.2,31351,https://hdd.userbenchmark.com/SpeedTest/2832/WDC-WD10EFRX-68JCSN0
HDD,WD1502FAEX,WD,Black 1.5TB (2010),159,66.1,5895,https://hdd.userbenchmark.com/SpeedTest/3664/WDC-WD1502FAEX-007BA0
HDD,,WD,WD6000HLHX-01JJPV0 600GB,160,66,5464,https://hdd.userbenchmark.com/SpeedTest/1823/WDC-WD6000HLHX-01JJPV0
HDD,,Hitachi,HUA723020ALA641 2TB,161,65.9,20639,https://hdd.userbenchmark.com/SpeedTest/11019/Hitachi-HUA723020ALA641
HDD,WD2002FAEX,WD,Black 2TB (2010),162,65.8,38026,https://hdd.userbenchmark.com/WD-Black-2TB-2010/Rating/1414
HDD,,Hitachi,HDS723020BLA642 2TB,163,65.6,22760,https://hdd.userbenchmark.com/SpeedTest/1339/Hitachi-HDS723020BLA642
HDD,WD10PURX,WD,Purple 1TB (2014),164,65.5,14771,https://hdd.userbenchmark.com/SpeedTest/14824/WDC-WD10PURX-64D85Y0
