Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon X3430,474,62.1,3225,https://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz
CPU,,Intel,Core i7-3612QM,475,62.1,9461,https://cpu.userbenchmark.com/SpeedTest/329/IntelR-CoreTM-i7-3612QM-CPU---210GHz
CPU,,Intel,Core i7-8550U,476,62,149959,https://cpu.userbenchmark.com/SpeedTest/320742/IntelR-CoreTM-i7-8550U-CPU---180GHz
CPU,,Intel,Core i5-8250U,477,62,206778,https://cpu.userbenchmark.com/SpeedTest/338266/IntelR-CoreTM-i5-8250U-CPU---160GHz
CPU,FD837EWMHKBOX,AMD,FX-8370E,478,62,4768,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984
CPU,,Intel,Core i7-8650U,479,61.9,30944,https://cpu.userbenchmark.com/SpeedTest/353957/IntelR-CoreTM-i7-8650U-CPU---190GHz
CPU,,Intel,Core i7-2860QM,480,61.9,3536,https://cpu.userbenchmark.com/SpeedTest/103/IntelR-CoreTM-i7-2860QM-CPU---250GHz
CPU,BX80677I37100T,Intel,Core i3-7100T,481,61.7,2169,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,,AMD,Phenom II X4 975,482,61.7,1063,https://cpu.userbenchmark.com/SpeedTest/3020/AMD-Phenomtm-II-X4-975-Processor
CPU,,Intel,Core i7-4712HQ,483,61.5,4541,https://cpu.userbenchmark.com/SpeedTest/10973/IntelR-CoreTM-i7-4712HQ-CPU---230GHz
CPU,,AMD,Phenom II X6 1090T,484,61.5,24680,https://cpu.userbenchmark.com/SpeedTest/417/AMD-Phenomtm-II-X6-1090T-Processor
CPU,BX80646I34150,Intel,Core i3-4150,485,61.5,32521,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,BX80677G4560,Intel,Pentium G4560,486,61.4,58336,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,,Intel,Core i5-1035G4,487,61.4,8463,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,AMD,Athlon II X4 555,488,61.3,113,https://cpu.userbenchmark.com/SpeedTest/12528/AMD-Athlontm-II-X4-555-Processor
CPU,,Intel,Core i7-2760QM,489,61.2,8653,https://cpu.userbenchmark.com/SpeedTest/949/IntelR-CoreTM-i7-2760QM-CPU---240GHz
CPU,FD832EWMHKBOX,AMD,FX-8320E,490,61.2,26917,https://cpu.userbenchmark.com/AMD-FX-8320E/Rating/2985
CPU,,Intel,Xeon E5-2620 v2,491,61.2,1751,https://cpu.userbenchmark.com/SpeedTest/4718/IntelR-XeonR-CPU-E5-2620-v2---210GHz
CPU,CM8068403377713,Intel,Pentium G5500T,492,61.1,47,https://cpu.userbenchmark.com/SpeedTest/519437/IntelR-PentiumR-Gold-G5500T-CPU---320GHz
CPU,,Intel,Core2 Extreme X9770,493,61,419,https://cpu.userbenchmark.com/SpeedTest/10543/IntelR-CoreTM2-Extreme-CPU-X9770----320GHz
CPU,,Intel,Xeon E5-1603 0,494,60.8,2582,https://cpu.userbenchmark.com/SpeedTest/9880/IntelR-XeonR-CPU-E5-1603-0---280GHz
CPU,,Intel,Core i5-1035G7,495,60.8,3061,https://cpu.userbenchmark.com/SpeedTest/920409/IntelR-CoreTM-i5-1035G7-CPU---120GHz
CPU,,Intel,Xeon E5530,496,60.7,545,https://cpu.userbenchmark.com/SpeedTest/4018/IntelR-XeonR-CPU-----------E5530----240GHz
CPU,,AMD,Phenom II X4 970,497,60.7,2031,https://cpu.userbenchmark.com/SpeedTest/2231/AMD-Phenomtm-II-X4-970-Processor
CPU,,Intel,Core i3-2125,498,60.7,559,https://cpu.userbenchmark.com/SpeedTest/3545/IntelR-CoreTM-i3-2125-CPU---330GHz
CPU,,AMD,Phenom II X6 1075T,499,60.7,4054,https://cpu.userbenchmark.com/SpeedTest/913/AMD-Phenomtm-II-X6-1075T-Processor
CPU,,AMD,FX-6200 Six-Core,500,60.7,4725,https://cpu.userbenchmark.com/SpeedTest/2658/AMD-FXtm-6200-Six-Core-Processor
CPU,,Intel,Core i7-5557U,501,60.5,1373,https://cpu.userbenchmark.com/SpeedTest/27386/IntelR-CoreTM-i7-5557U-CPU---310GHz
CPU,,Intel,Core i7-2820QM,502,60.4,4630,https://cpu.userbenchmark.com/SpeedTest/3145/IntelR-CoreTM-i7-2820QM-CPU---230GHz
CPU,,Intel,Core i3-3250,503,60.4,3232,https://cpu.userbenchmark.com/SpeedTest/4950/IntelR-CoreTM-i3-3250-CPU---350GHz
CPU,BX80646I34130,Intel,Core i3-4130,504,60.3,41545,https://cpu.userbenchmark.com/Intel-Core-i3-4130/Rating/1621
CPU,FD6300WMHKBOX,AMD,FX-6300,505,60.2,237486,https://cpu.userbenchmark.com/AMD-FX-6300/Rating/1555
CPU,BX80637I33225,Intel,Core i3-3225,506,60.2,2774,https://cpu.userbenchmark.com/Intel-Core-i3-3225/Rating/1488
CPU,,Intel,Xeon E5620,507,60.1,2580,https://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz
CPU,CM8067703016117,Intel,Pentium G4560T,508,60.1,352,https://cpu.userbenchmark.com/SpeedTest/467086/IntelR-PentiumR-CPU-G4560T---290GHz
CPU,,Intel,Core i7 X 940,509,60,503,https://cpu.userbenchmark.com/SpeedTest/2801/IntelR-CoreTM-i7-CPU-------X-940----213GHz
CPU,,Intel,Core i5-4570T,510,60,5340,https://cpu.userbenchmark.com/SpeedTest/6853/IntelR-CoreTM-i5-4570T-CPU---290GHz
CPU,,Intel,Core i3-7167U,511,59.9,33,https://cpu.userbenchmark.com/SpeedTest/357115/IntelR-CoreTM-i3-7167U-CPU---280GHz
CPU,,AMD,Ryzen 7 3750H,512,59.9,28395,https://cpu.userbenchmark.com/SpeedTest/786211/AMD-Ryzen-7-3750H-with-Radeon-Vega-Mobile-Gfx
CPU,FD4350FRHKBOX,AMD,FX-4350,513,59.9,10189,https://cpu.userbenchmark.com/AMD-FX-4350/Rating/2880
CPU,BX80662G4520,Intel,Pentium G4520,514,59.8,332,https://cpu.userbenchmark.com/Intel-Pentium-G4520/Rating/3537
CPU,,AMD,Phenom II X4 B60,515,59.8,1296,https://cpu.userbenchmark.com/SpeedTest/8154/AMD-Phenomtm-II-X4-B60-Processor
